מילה	יחידה	מקור ההוכחה	רפרנס	הערה
אולם	1	ויקינתונים (CC0)	L63769
ברם	1	ספריא · נחלת הכלל	Machberet Menachem, Letter Bet 62:2 (Mahberet Menahem, London, 1854. [he])
שכן	1	ויקינתונים (CC0)	L219645
הואיל ו	1	ויקינתונים (CC0)	L207001
בשל	1	ויקינתונים (CC0)	L205971
בגין	1	ויקינתונים (CC0)	L489885
לפיכך	1	ויקינתונים (CC0)	L492156
אפוא	1	ויקינתונים (CC0)	L492148
אף ש	1	ספריא · נחלת הכלל	Etz Yosef on Shir HaShirim Rabbah 1:16:1:3 (Midrash Rabbah, with Etz Yosef, Warsaw, 1867 [he])
הגם ש	1	ספריא · נחלת הכלל	Malbim on Exodus 5:18:1 (Mikraei Kodesh, Vilna, 1891 [he])
חרף	1	ויקינתונים (CC0)	L211176
אלמלא	1	ויקינתונים (CC0)	L492124
לולא	1	ויקינתונים (CC0)	L492153
לכאורה	1	ויקינתונים (CC0)	L492154
כביכול	1	ויקינתונים (CC0)	L492018
אמנם	1	ספריא · נחלת הכלל	Metzudat Zion on Job 19:5:1 (On Your Way [he])
דהינו	1	ספריא · נחלת הכלל	Kitzur Shulchan Arukh 60:13 (Torat Emet 357 [he])
מנגד	1	ויקינתונים (CC0)	L213452
יתר על כן	1	ספריא · נחלת הכלל	Ritva on Yevamot 37b:1 (Chidushei HaRitva Yevamot; Lvov, 1861. [he])
אדרבא	1	ספריא · נחלת הכלל	Rashba on Eruvin 71a:1 (Gerlitz edition, published by Oraita [he])
על כרחו	1	⚠ דרוש מקור	Gur Aryeh on Bamidbar 22:18:2 (Gur Aryeh, Machon Yerushalyim, 1989-1995 [he])	⚠ ההוכחה הוסרה · ספריא נחלת-הכלל · מהדורה 1995 · אומת חי מול ספריא: אין בספריא אף מהדורה עברית בנחלת הכלל שאינה מ-1929 ואילך · הגרסאות שנמצאו: Gur Aryeh, Machon Yerushalyim, 1989-1995 · הטענה הקודמת: ספריא · נחלת הכלל / Gur Aryeh on Bamidbar 22:18:2 (Gur Aryeh, Machon Yerushalyim, 1989-1995 [he])
בדיעבד	1	ויקינתונים (CC0)	L491991
לכתחלה	1	ספריא · נחלת הכלל	Maharam Schiff on Gittin 4a:6 (Vilna Edition [he])
פזיז	1	ויקינתונים (CC0)	L216609
נמהר	1	ויקינתונים (CC0)	L214685
מתון	1	ויקינתונים (CC0)	L213990
ותרן	1	ויקינתונים (CC0)	L210327
דעתן	1	ויקינתונים (CC0)	L206711
שחצן	1	ויקינתונים (CC0)	L219424
יהיר	1	ויקינתונים (CC0)	L211641
ענו	1	ויקינתונים (CC0)	L80557
קפדן	1	ויקינתונים (CC0)	L218391
רשלן	1	ויקינתונים (CC0)	L219146
חפוז	1	ויקינתונים (CC0)	L211074
נועז	1	ויקינתונים (CC0)	L214280
הגון	1	ויקינתונים (CC0)	L206914
עקש	1	ויקינתונים (CC0)	L216122
ציתן	1	ויקינתונים (CC0)	L217568
כנוע	1	ויקינתונים (CC0)	L212151
עוין	1	ויקינתונים (CC0)	L215957
נרגן	1	ויקינתונים (CC0)	L214993
רכרוכי	1	ויקינתונים (CC0)	L218962
מפנם	1	ויקינתונים (CC0)	L212907
מחצן	1	⚠ דרוש מקור	נמלה
פזרן	1	ויקינתונים (CC0)	L216614
גרגרן	1	ויקינתונים (CC0)	L206353
הולל	1	ויקינתונים (CC0)	L207205
הפכפך	1	ויקינתונים (CC0)	L208531
ערמומי	1	ויקינתונים (CC0)	L216333
פתי	1	ויקינתונים (CC0)	L217401
שאנן	1	ויקינתונים (CC0)	L219189
להוט	1	ויקינתונים (CC0)	L212298
זעוף	1	ויקינתונים (CC0)	L210495
צבוע	1	ויקינתונים (CC0)	L217452
גלמוד	1	ויקינתונים (CC0)	L206277
הוקיר	1	ויקינתונים (CC0)	L207395
זנח	1	ויקינתונים (CC0)	L210488
חדל	1	ויקינתונים (CC0)	L210603
נכסף	1	ויקינתונים (CC0)	L214651
גער	1	ויקינתונים (CC0)	L206334
התריס	1	ויקינתונים (CC0)	L210213
הפציר	1	ויקינתונים (CC0)	L208559
מאן	1	ויקינתונים (CC0)	L213109
נאות	1	ויקינתונים (CC0)	L214044
נעתר	1	ויקינתונים (CC0)	L214836
המרה	1	ויקינתונים (CC0)	L208238
התקומם	1	ויקינתונים (CC0)	L210107
הרהר	1	ויקינתונים (CC0)	L208879
תהה	1	ויקינתונים (CC0)	L219997
הסיק	1	ויקינתונים (CC0)	L208321
הפריך	1	ויקינתונים (CC0)	L208576
אשש	1	ויקינתונים (CC0)	L204893
הלל	1	ויקינתונים (CC0)	L1333585
קטרג	1	ויקינתונים (CC0)	L218106
סנגר	1	ויקינתונים (CC0)	L215682
הוקיע	1	ויקינתונים (CC0)	L207394
הרתיע	1	ויקינתונים (CC0)	L208959
נבעת	1	ויקינתונים (CC0)	L214114
התעשת	1	ויקינתונים (CC0)	L209986
הסתיג	1	ויקינתונים (CC0)	L208383
צדד	1	ויקינתונים (CC0)	L217542
חלק על	1	ויקינתונים (CC0)	L65291
ערער על	1	ויקינתונים (CC0)	L216339
פקפק	1	ויקינתונים (CC0)	L217128
דבק	1	ויקינתונים (CC0)	L206429
ערק	1	ויקינתונים (CC0)	L216347
חמק	1	ויקינתונים (CC0)	L211011
שהה	1	ויקינתונים (CC0)	L219256
